,income_prob,accum_prob,inc_h,acc_h,inc_h_rank,acc_h_rank,recommendation,review_flag,RiskPropensity,Income_ProductID,Accum_ProductID,Assigned_ProductID,Product_Name
0,0.31752732,0.9795598,0.9016722181944259,0.1439051731893935,0.5493,0.2582,ACCUMULATION,False,0.5824424025502566,1,4,4,Balanced High Dividend Mutual Fund
1,0.31752732,0.9827475,0.9016722181944259,0.12572293881101054,0.5493,0.1765,ACCUMULATION,False,0.3960812857791637,5,4,4,Balanced High Dividend Mutual Fund
2,0.31752732,0.19883214,0.9016722181944259,0.7195862155982544,0.5493,0.436,NO_ACTION,False,0.4070983917306815,5,4,NO_ACTION,No Immediate Need
3,0.75088996,0.5940014,0.8098645265870003,0.9743515691439841,0.0753,0.9606,INCOME,False,0.3327318997429961,6,2,6,Defensive Flexible Allocation Unit-Linked (Life Insurance)
4,0.31752732,0.9827475,0.9016722181944259,0.12572293881101054,0.5493,0.1765,ACCUMULATION,False,0.5017994762001753,8,4,4,Balanced High Dividend Mutual Fund
5,0.31752732,0.2767044,0.9016722181944259,0.8509213700132516,0.5493,0.8473,NO_ACTION,False,0.3489524801199294,6,2,NO_ACTION,No Immediate Need
6,0.7425276,0.67621523,0.8229081798935822,0.9084498653447226,0.2187,0.9127,INCOME,False,0.5270410540309652,1,4,1,Balanced Mutual Fund
7,0.31752732,0.9746799,0.9016722181944259,0.170349835896049,0.5493,0.3132,ACCUMULATION,False,0.242796796857471,9,2,2,Income Conservative Unit-Linked (Life Insurance)
8,0.31752732,0.28879493,0.9016722181944259,0.8671594921341255,0.5493,0.8679,NO_ACTION,False,0.0833247716277081,9,3,NO_ACTION,No Immediate Need
9,0.31752732,0.26482624,0.9016722181944259,0.8339422497016407,0.5493,0.8154,NO_ACTION,False,0.5992399912665666,1,4,NO_ACTION,No Immediate Need
10,0.74935746,0.17687283,0.8122949357812944,0.6731879636311391,0.1657,0.3662,INCOME,False,0.3622398880743072,6,2,6,Defensive Flexible Allocation Unit-Linked (Life Insurance)
11,0.31752732,0.22800429,0.9016722181944259,0.774516080038294,0.5493,0.6296,NO_ACTION,False,0.287734975674392,9,2,NO_ACTION,No Immediate Need
12,0.75088996,0.3319614,0.8098645265870003,0.9169177800693589,0.0753,0.9211,INCOME,False,0.3445387318514208,6,2,6,Defensive Flexible Allocation Unit-Linked (Life Insurance)
13,0.75088996,0.20500068,0.8098645265870003,0.7318174161667594,0.0753,0.4673,INCOME,False,0.5501080642057109,1,4,1,Balanced Mutual Fund
14,0.32076037,0.18534067,0.9052064152724733,0.6916221090319217,0.9143,0.3877,NO_ACTION,False,0.2623574209997805,9,2,NO_ACTION,No Immediate Need
15,0.31752732,0.97997427,0.9016722181944259,0.1415849854180697,0.5493,0.2418,ACCUMULATION,False,0.19397222136704,9,10,10,Fixed Income Segregated Account
16,0.31752732,0.9805196,0.9016722181944259,0.13851315847389872,0.5493,0.2232,ACCUMULATION,False,0.2866372167315543,9,2,2,Income Conservative Unit-Linked (Life Insurance)
17,0.31752732,0.25135255,0.9016722181944259,0.8134148337080354,0.5493,0.754,NO_ACTION,False,0.3676921891923839,6,2,NO_ACTION,No Immediate Need
18,0.31752732,0.9851559,0.9016722181944259,0.11141845550849847,0.5493,0.1011,ACCUMULATION,False,0.3973607820281258,5,4,4,Balanced High Dividend Mutual Fund
19,0.31752732,0.20528139,0.9016722181944259,0.7323659430077696,0.5493,0.4708,NO_ACTION,False,0.2074937013132267,9,10,NO_ACTION,No Immediate Need
20,0.7438426,0.19400546,0.8208922962457041,0.7097757720046336,0.205,0.4216,INCOME,False,0.382653369384658,6,4,6,Defensive Flexible Allocation Unit-Linked (Life Insurance)
21,0.31752732,0.28879493,0.9016722181944259,0.8671594921341255,0.5493,0.8679,NO_ACTION,False,0.3952603134625418,5,4,NO_ACTION,No Immediate Need
22,0.31752732,0.98134226,0.9016722181944259,0.13383635328649157,0.5493,0.2101,ACCUMULATION,False,0.212319526027076,9,10,10,Fixed Income Segregated Account
23,0.75088996,0.5888141,0.8098645265870003,0.977118992168764,0.0753,0.9638,INCOME,False,0.4331906867968206,5,4,5,Balanced Mutual Fund
24,0.7425276,0.67824507,0.8229081798935822,0.9062796817985032,0.2187,0.91,INCOME,False,0.5010547720308217,8,4,8,Balanced Flexible Allocation Unit-Linkled (Life Insurance)
25,0.32076037,0.18597159,0.9052064152724733,0.6929678547562913,0.9143,0.3894,NO_ACTION,False,0.1155020275586215,9,3,NO_ACTION,No Immediate Need
26,0.75088996,0.62138665,0.8098645265870003,0.9570567866798829,0.0753,0.9479,INCOME,False,0.4455392008320954,8,4,8,Balanced Flexible Allocation Unit-Linkled (Life Insurance)
27,0.75088996,0.46641105,0.8098645265870003,0.9967422001145256,0.0753,0.9875,INCOME,False,0.2529718640280658,9,2,9,Cautious Allocation Segregated Account
28,0.31752732,0.23486304,0.9016722181944259,0.7863928241684348,0.5493,0.6854,NO_ACTION,False,0.5445570521960922,1,4,NO_ACTION,No Immediate Need
29,0.31752732,0.9827475,0.9016722181944259,0.12572293881101054,0.5493,0.1765,ACCUMULATION,False,0.2337107237430124,9,2,2,Income Conservative Unit-Linked (Life Insurance)
30,0.31752732,0.1664069,0.9016722181944259,0.6494189107975705,0.5493,0.3526,NO_ACTION,False,0.3093590110520856,9,2,NO_ACTION,No Immediate Need
31,0.32076037,0.20863293,0.9052064152724733,0.7388614988587499,0.9143,0.4942,NO_ACTION,False,0.1847888421056529,9,10,NO_ACTION,No Immediate Need
32,0.31752732,0.9795598,0.9016722181944259,0.1439051731893935,0.5493,0.2582,ACCUMULATION,False,0.4905210889303528,8,4,4,Balanced High Dividend Mutual Fund
33,0.32076037,0.9851559,0.9052064152724733,0.11141845550849847,0.9143,0.1011,ACCUMULATION,False,0.4966764129481501,8,4,4,Balanced High Dividend Mutual Fund
34,0.31752732,0.20338121,0.9016722181944259,0.7286391889727601,0.5493,0.4582,NO_ACTION,False,0.4773905630291622,8,4,NO_ACTION,No Immediate Need
35,0.75088996,0.20571741,0.8098645265870003,0.7332165862976007,0.0753,0.4794,INCOME,False,0.1788927443011806,9,10,9,Cautious Allocation Segregated Account
36,0.32076037,0.23722425,0.9052064152724733,0.7903937545206998,0.9143,0.6954,NO_ACTION,False,0.566339004427305,1,4,NO_ACTION,No Immediate Need
37,0.32076037,0.19351096,0.9052064152724733,0.7087586177378729,0.9143,0.4208,NO_ACTION,False,0.3941936326993308,5,4,NO_ACTION,No Immediate Need
38,0.31752732,0.23771611,0.9016722181944259,0.7912215741695577,0.5493,0.6988,NO_ACTION,False,0.5201126654892314,1,4,NO_ACTION,No Immediate Need
39,0.31752732,0.9779312,0.9016722181944259,0.1529037910235307,0.5493,0.292,ACCUMULATION,False,0.3943040940199053,5,4,4,Balanced High Dividend Mutual Fund
40,0.32076037,0.3193492,0.9052064152724733,0.9036723318493431,0.9143,0.9081,NO_ACTION,False,0.199571645095724,9,10,NO_ACTION,No Immediate Need
41,0.31752732,0.18731487,0.9016722181944259,0.6958204552126664,0.5493,0.3968,NO_ACTION,False,0.4029371137064996,5,4,NO_ACTION,No Immediate Need
42,0.31752732,0.9805196,0.9016722181944259,0.13851315847389872,0.5493,0.2232,ACCUMULATION,False,0.3334236324537645,6,2,2,Income Conservative Unit-Linked (Life Insurance)
43,0.75088996,0.2694795,0.8098645265870003,0.8407167784989049,0.0753,0.8334,INCOME,False,0.568324313700748,1,4,1,Balanced Mutual Fund
44,0.31752732,0.26569355,0.9016722181944259,0.8352170421219121,0.5493,0.8214,NO_ACTION,False,0.2385642715326888,9,2,NO_ACTION,No Immediate Need
45,0.31752732,0.9827475,0.9016722181944259,0.12572293881101054,0.5493,0.1765,ACCUMULATION,False,0.2333546444701228,9,2,2,Income Conservative Unit-Linked (Life Insurance)
46,0.75088996,0.19135892,0.8098645265870003,0.704305583531188,0.0753,0.409,INCOME,False,0.4305347203350822,5,4,5,Balanced Mutual Fund
47,0.31752732,0.9851559,0.9016722181944259,0.11141845550849847,0.5493,0.1011,ACCUMULATION,False,0.2950371071455665,9,2,2,Income Conservative Unit-Linked (Life Insurance)
48,0.32076037,0.9765028,0.9052064152724733,0.16064997699088773,0.9143,0.3092,ACCUMULATION,False,0.7385390785084203,7,4,4,Balanced High Dividend Mutual Fund
49,0.31752732,0.9805196,0.9016722181944259,0.13851315847389872,0.5493,0.2232,ACCUMULATION,False,0.5074178395038635,8,4,4,Balanced High Dividend Mutual Fund
50,0.74372196,0.23260312,0.8210777811639686,0.7825215948045987,0.2117,0.6623,INCOME,False,0.1761694080146993,9,10,9,Cautious Allocation Segregated Account
